,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword
512,512,Who was the first Minister of Magic?,Ulick Gamp,['who' 'be' 'first' 'minister' 'magic'],['ulick' 'gamp'],['who' 'be' 'first' 'minister' 'magic' 'ulick' 'gamp'],['who' 'be'],who
513,513,"In 1876, which caretaker tried to make Peeves leave Hogwarts?",Rancorous Carpe,['1876' 'which' 'caretaker' 'try' 'make' 'peeve' 'leave' 'hogwarts'],['rancorous' 'carpe'],"['1876' 'which' 'caretaker' 'try' 'make' 'peeve' 'leave' 'hogwarts'
 'rancorous' 'carpe']",['which'],which
514,514,Fanged Geraniums are most notable for what?,Their Fangs,['fanged' 'geranium' 'be' 'notable' 'what'],['fang'],['fanged' 'geranium' 'be' 'notable' 'what' 'fang'],['be' 'what'],what
515,515,From what event do we measure the age of the universe?,The Big Bang.,['what' 'event' 'do' 'measure' 'age' 'universe'],['big' 'bang'],['what' 'event' 'do' 'measure' 'age' 'universe' 'big' 'bang'],['what' 'do'],what
516,516,Who does Bill Weasley marry?,Fleur Delacour,['who' 'do' 'bill' 'weasley' 'marry'],['fleur' 'delacour'],['who' 'do' 'bill' 'weasley' 'marry' 'fleur' 'delacour'],['who' 'do'],who
517,517,Who is the Slytherin ghost?,The Bloody Baron,['who' 'be' 'slytherin' 'ghost'],['bloody' 'baron'],['who' 'be' 'slytherin' 'ghost' 'bloody' 'baron'],['who' 'be'],who
518,518,What is required in the manoeuvre Taking Passengers?,Complete cooperation.,['what' 'be' 'require' 'manoeuvre' 'take' 'passenger'],['complete' 'cooperation'],"['what' 'be' 'require' 'manoeuvre' 'take' 'passenger' 'complete'
 'cooperation']",['what' 'be'],what
519,519,What is the name of the wizarding prison in the Harry Potter series?,Azkaban,['what' 'be' 'name' 'wizarding' 'prison' 'harry' 'potter' 'series'],['azkaban'],"['what' 'be' 'name' 'wizarding' 'prison' 'harry' 'potter' 'series'
 'azkaban']",['what' 'be' 'name'],what
520,520,Who is Hufflepuff's patron ghost?,Fat Friar,['who' 'be' 'hufflepuff' 'patron' 'ghost'],['fat' 'friar'],['who' 'be' 'hufflepuff' 'patron' 'ghost' 'fat' 'friar'],['who' 'be'],who
521,521,How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school?,Seven,"['how' 'many' 'muggles' 'see' 'fly' 'ford' 'anglia' 'harry' 'ron' 'make'
 'way' 'school']",['seven'],"['how' 'many' 'muggles' 'see' 'fly' 'ford' 'anglia' 'harry' 'ron' 'make'
 'way' 'school' 'seven']",['how'],how
522,522,How is mail delivered in the wizarding world?,By owl post.,['how' 'be' 'mail' 'deliver' 'wizarding' 'world'],['owl' 'post'],['how' 'be' 'mail' 'deliver' 'wizarding' 'world' 'owl' 'post'],['how' 'be'],how
523,523,What is Madam Hooch's second job?,Quiddich Referee,['what' 'be' 'madam' 'hooch' 'second' 'job'],['quiddich' 'referee'],['what' 'be' 'madam' 'hooch' 'second' 'job' 'quiddich' 'referee'],['what' 'be'],what
524,524,What is a spell used to mend broken objects?,Reparo,['what' 'be' 'spell' 'use' 'mend' 'broken' 'object'],['reparo'],['what' 'be' 'spell' 'use' 'mend' 'broken' 'object' 'reparo'],['what' 'be'],what
525,525,What is the term for a witch or wizard who can see the future?,Seer,['what' 'be' 'term' 'witch' 'wizard' 'who' 'can' 'see' 'future'],['seer'],['what' 'be' 'term' 'witch' 'wizard' 'who' 'can' 'see' 'future' 'seer'],['what' 'be' 'who' 'can'],what
526,526,"Who do you prefer: Dust, Binns, or Peeves?",Peeves!,['who' 'do' 'prefer' 'dust' 'binns' 'peeve'],['peeve'],['who' 'do' 'prefer' 'dust' 'binns' 'peeve'],['who' 'do'],who
527,527,Who is the professor of Transfiguration class?,McGonagall,['who' 'be' 'professor' 'transfiguration' 'class'],['mcgonagall'],['who' 'be' 'professor' 'transfiguration' 'class' 'mcgonagall'],['who' 'be'],who
528,528,What is Professor Minerva McGonagall's animagus?,A cat.,['what' 'be' 'professor' 'minerva' 'mcgonagall' 'animagus'],['cat'],['what' 'be' 'professor' 'minerva' 'mcgonagall' 'animagus' 'cat'],['what' 'be'],what
529,529,Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw,['which' 'one' 'following' 'be' 'founder' 'hogwarts'],['helena' 'ravenclaw'],['which' 'one' 'following' 'be' 'founder' 'hogwarts' 'helena' 'ravenclaw'],['which' 'be'],which
530,530,What potion gives good luck to those who drink it?,Felix Felicis,['what' 'potion' 'give' 'good' 'luck' 'who' 'drink'],['felix' 'felicis'],['what' 'potion' 'give' 'good' 'luck' 'who' 'drink' 'felix' 'felicis'],['what' 'who'],what
531,531,Who sent Harry his Firebolt?,Sirius Black,['who' 'send' 'harry' 'firebolt'],['sirius' 'black'],['who' 'send' 'harry' 'firebolt' 'sirius' 'black'],['who'],who
532,532,"In our second year, where did you sneak into using a Shrinking Charm?",A Common Room,['second' 'year' 'where' 'do' 'sneak' 'use' 'shrinking' 'charm'],['common' 'room'],"['second' 'year' 'where' 'do' 'sneak' 'use' 'shrinking' 'charm' 'common'
 'room']",['where' 'do'],where
533,533,Which charm did we end in class by using Finite Incantatem?,Wand-lighting,['which' 'charm' 'do' 'end' 'class' 'use' 'finite' 'incantatem'],['wand' 'light'],"['which' 'charm' 'do' 'end' 'class' 'use' 'finite' 'incantatem' 'wand'
 'light']",['which' 'do'],which
534,534,Harry was raised by his mother’s sister. What was his aunt named?,Petunia,['harry' 'be' 'raise' 'mother' 'sister' 'what' 'aunt' 'name'],['petunia'],['harry' 'be' 'raise' 'mother' 'sister' 'what' 'aunt' 'name' 'petunia'],['be' 'what' 'name'],what
535,535,True or false: This is the longest movie in the franchise.,"False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes.",['true' 'false' 'be' 'long' 'movie' 'franchise'],"['false' 'harry' 'potter' 'chamber' 'secret' 'be' 'long' 'movie' '161'
 'minute']","['true' 'false' 'be' 'long' 'movie' 'franchise' 'harry' 'potter' 'chamber'
 'secret' '161' 'minute']",['true' 'false' 'be'],true
536,536,Dittany is used primarily for what purpose?,Healing,['dittany' 'be' 'use' 'primarily' 'what' 'purpose'],['heal'],['dittany' 'be' 'use' 'primarily' 'what' 'purpose' 'heal'],['be' 'what'],what
537,537,What is the magical equipment store in Hogsmeade?,Dervish and Banges,['what' 'be' 'magical' 'equipment' 'store' 'hogsmeade'],['dervish' 'banges'],['what' 'be' 'magical' 'equipment' 'store' 'hogsmeade' 'dervish' 'banges'],['what' 'be'],what
538,538,What boil-inducing ingredient can create an explosive reaction when added to a Cure for Boils?,Bulbadox Powder,"['what' 'boil' 'induce' 'ingredient' 'can' 'create' 'explosive' 'reaction'
 'when' 'add' 'cure']",['bulbadox' 'powder'],"['what' 'boil' 'induce' 'ingredient' 'can' 'create' 'explosive' 'reaction'
 'when' 'add' 'cure' 'bulbadox' 'powder']",['what' 'can' 'when'],what
539,539,What is Luna Lovegood’s father’s name?,Xenophilius Lovegood,['what' 'be' 'luna' 'lovegood' 'father' 'name'],['xenophilius' 'lovegood'],['what' 'be' 'luna' 'lovegood' 'father' 'name' 'xenophilius'],['what' 'be' 'name'],what
540,540,What was the name of the company Vernon Dursley worked for?,Grunnings,['what' 'be' 'name' 'company' 'vernon' 'dursley' 'work'],['grunnings'],['what' 'be' 'name' 'company' 'vernon' 'dursley' 'work' 'grunnings'],['what' 'be' 'name'],what
541,541,"Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what?",The London Underground.,"['ever' 'eccentric' 'dumbledore' 'have' 'scar' 'left' 'knee' 'be'
 'perfect' 'map' 'what']",['london' 'underground'],"['ever' 'eccentric' 'dumbledore' 'have' 'scar' 'left' 'knee' 'be'
 'perfect' 'map' 'what' 'london' 'underground']",['have' 'be' 'what'],what
542,542,Who loses an ear at the start of the book?,George Weasley,['who' 'lose' 'ear' 'start' 'book'],['george' 'weasley'],['who' 'lose' 'ear' 'start' 'book' 'george' 'weasley'],['who'],who
543,543,Professor Sprout is the head of which Hogwarts house?,Hufflepuff,['professor' 'sprout' 'be' 'head' 'which' 'hogwarts' 'house'],['hufflepuff'],['professor' 'sprout' 'be' 'head' 'which' 'hogwarts' 'house' 'hufflepuff'],['be' 'which'],which
544,544,Dark matter and dark energy make up what percentage of our universe?,95%.,['dark' 'matter' 'energy' 'make' 'what' 'percentage' 'universe'],['95'],['dark' 'matter' 'energy' 'make' 'what' 'percentage' 'universe' '95'],['what'],what
545,545,Which ghost haunts the second-floor girls' bathroom in Hogwarts?,Moaning Myrtle,['which' 'ghost' 'haunt' 'second' 'floor' 'girl' 'bathroom' 'hogwarts'],['moan' 'myrtle'],"['which' 'ghost' 'haunt' 'second' 'floor' 'girl' 'bathroom' 'hogwarts'
 'moan' 'myrtle']",['which'],which
546,546,What piece of equipment is essential when re-potting baby Mandrakes?,Earmuffs,"['what' 'piece' 'equipment' 'be' 'essential' 'when' 'pot' 'baby'
 'mandrake']",['earmuff'],"['what' 'piece' 'equipment' 'be' 'essential' 'when' 'pot' 'baby'
 'mandrake' 'earmuff']",['what' 'be' 'when'],what
547,547,What type of cauldron do first-year students need?,Pewter,['what' 'type' 'cauldron' 'do' 'first' 'year' 'student' 'need'],['pewter'],['what' 'type' 'cauldron' 'do' 'first' 'year' 'student' 'need' 'pewter'],['what' 'do'],what
548,548,Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets?,Ginny Weasley,"['who' 'be' 'manipulate' 'vandalize' 'hogwarts' 'message' 'chamber'
 'secret']",['ginny' 'weasley'],"['who' 'be' 'manipulate' 'vandalize' 'hogwarts' 'message' 'chamber'
 'secret' 'ginny' 'weasley']",['who' 'be'],who
549,549,What is Lockhart's favorite color?,Lilac,['what' 'be' 'lockhart' 'favorite' 'color'],['lilac'],['what' 'be' 'lockhart' 'favorite' 'color' 'lilac'],['what' 'be'],what
550,550,What is James Potter's Marauder nickname?,Prongs,['what' 'be' 'james' 'potter' 'marauder' 'nickname'],['prong'],['what' 'be' 'james' 'potter' 'marauder' 'nickname' 'prong'],['what' 'be'],what
551,551,Where is the Hall of Prophecy?,Ministry of Magic,['where' 'be' 'hall' 'prophecy'],['ministry' 'magic'],['where' 'be' 'hall' 'prophecy' 'ministry' 'magic'],['where' 'be'],where
552,552,What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape,['what' 'distinguish' 'chameleon' 'ghoul' 'ordinary'],['ability' 'change' 'shape'],"['what' 'distinguish' 'chameleon' 'ghoul' 'ordinary' 'ability' 'change'
 'shape']",['what'],what
553,553,Which of these books covers ancient runes?,Spellman's Syllabery,['which' 'book' 'cover' 'ancient' 'rune'],['spellman' 'syllabery'],['which' 'book' 'cover' 'ancient' 'rune' 'spellman' 'syllabery'],['which'],which
554,554,Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book?,Fluffy,"['who' 'be' 'giant' 'three' 'head' 'dog' 'guard' 'trapdoor' 'lead'
 'philosopher' 'stone' 'first' 'book']",['fluffy'],"['who' 'be' 'giant' 'three' 'head' 'dog' 'guard' 'trapdoor' 'lead'
 'philosopher' 'stone' 'first' 'book' 'fluffy']",['who' 'be'],who
555,555,How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration?,Five,"['how' 'many' 'principal' 'exception' 'be' 'gamp' 'law' 'elemental'
 'transfiguration']",['five'],"['how' 'many' 'principal' 'exception' 'be' 'gamp' 'law' 'elemental'
 'transfiguration' 'five']",['how' 'be'],how
556,556,What part of a Mandrake is potentially fatal?,Its scream,['what' 'part' 'mandrake' 'be' 'potentially' 'fatal'],['scream'],['what' 'part' 'mandrake' 'be' 'potentially' 'fatal' 'scream'],['what' 'be'],what
557,557,What should you avoid getting in your eyes while flying?,Insects,['what' 'should' 'avoid' 'get' 'eye' 'fly'],['insect'],['what' 'should' 'avoid' 'get' 'eye' 'fly' 'insect'],['what' 'should'],what
558,558,Who is Slytherin's patron ghost?,Bloody Baron,['who' 'be' 'slytherin' 'patron' 'ghost'],['bloody' 'baron'],['who' 'be' 'slytherin' 'patron' 'ghost' 'bloody' 'baron'],['who' 'be'],who
559,559,What is the incantation for the Exploding Charm?,Bombarda,['what' 'be' 'incantation' 'exploding' 'charm'],['bombarda'],['what' 'be' 'incantation' 'exploding' 'charm' 'bombarda'],['what' 'be'],what
560,560,An intended transformation is directly influenced by which of the following?,Concentration,['intended' 'transformation' 'be' 'directly' 'influence' 'which' 'follow'],['concentration'],"['intended' 'transformation' 'be' 'directly' 'influence' 'which' 'follow'
 'concentration']",['be' 'which'],which
561,561,What does the Stretching Jinx do?,Causes the target to stretch,['what' 'do' 'stretch' 'jinx'],['cause' 'target' 'stretch'],['what' 'do' 'stretch' 'jinx' 'cause' 'target'],['what' 'do'],what
562,562,What is the name of the magical object that allows the user to become invisible?,The Cloak of Invisibility,['what' 'be' 'name' 'magical' 'object' 'allow' 'user' 'become' 'invisible'],['cloak' 'invisibility'],"['what' 'be' 'name' 'magical' 'object' 'allow' 'user' 'become' 'invisible'
 'cloak' 'invisibility']",['what' 'be' 'name'],what
563,563,Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,"['where' 'be' 'british' 'irish' 'quidditch' 'league' 'headquarters'
 'locate']",['ministry' 'magic'],"['where' 'be' 'british' 'irish' 'quidditch' 'league' 'headquarters'
 'locate' 'ministry' 'magic']",['where' 'be'],where
564,564,What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch,['what' 'be' 'name' 'game' 'play' 'broomstick' 'harry' 'potter' 'series'],['quidditch'],"['what' 'be' 'name' 'game' 'play' 'broomstick' 'harry' 'potter' 'series'
 'quidditch']",['what' 'be' 'name'],what
565,565,Wich of these creatures is notable proud and easy to offend if not treated politely?,Hippogriff,"['wich' 'creature' 'be' 'notable' 'proud' 'easy' 'offend' 'treat'
 'politely']",['hippogriff'],"['wich' 'creature' 'be' 'notable' 'proud' 'easy' 'offend' 'treat'
 'politely' 'hippogriff']",['be'],be
566,566,Starfish and Stick is a tactic used by what Quidditch position?,Keeper,['starfish' 'stick' 'be' 'tactic' 'use' 'what' 'quidditch' 'position'],['keeper'],"['starfish' 'stick' 'be' 'tactic' 'use' 'what' 'quidditch' 'position'
 'keeper']",['be' 'what'],what
567,567,Which of these tasks can not be aided by a Vanishing Spell?,Dancing,['which' 'task' 'can' 'be' 'aid' 'vanishing' 'spell'],['dance'],['which' 'task' 'can' 'be' 'aid' 'vanishing' 'spell' 'dance'],['which' 'can' 'be'],which
568,568,"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart,"['what' 'do' 'harry' 'ron' 'hermione' 'find' 'locked' 'cabinet' 'writing'
 'desk' 'order' 'phoenix' 'headquarters']",['boggart'],"['what' 'do' 'harry' 'ron' 'hermione' 'find' 'locked' 'cabinet' 'writing'
 'desk' 'order' 'phoenix' 'headquarters' 'boggart']",['what' 'do'],what
569,569,What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,['what' 'item' 'headmaster' 'office' 'allow' 'review' 'bottled' 'memory'],['pensieve'],"['what' 'item' 'headmaster' 'office' 'allow' 'review' 'bottled' 'memory'
 'pensieve']",['what'],what
570,570,Do you know what kind of creature a Boggart is?,Non-being,['do' 'know' 'what' 'kind' 'creature' 'boggart' 'be'],['non' 'be'],['do' 'know' 'what' 'kind' 'creature' 'boggart' 'be' 'non'],['do' 'what' 'be'],what
571,571,What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch,"['what' 'be' 'name' 'hogwarts' 'caretaker' 'who' 'always' 'complain'
 'student']",['argus' 'filch'],"['what' 'be' 'name' 'hogwarts' 'caretaker' 'who' 'always' 'complain'
 'student' 'argus' 'filch']",['what' 'be' 'name' 'who'],what
572,572,Why did the Werewolf Code of Conduct fail?,No Werewolves Signed,['why' 'do' 'werewolf' 'code' 'conduct' 'fail'],['no' 'werewolf' 'sign'],['why' 'do' 'werewolf' 'code' 'conduct' 'fail' 'no' 'sign'],['why' 'do'],why
573,573,You should cover your ears when this mature plant starts crying. Name that plant!,Mandrake,['should' 'cover' 'ear' 'when' 'mature' 'plant' 'start' 'cry' 'name'],['mandrake'],"['should' 'cover' 'ear' 'when' 'mature' 'plant' 'start' 'cry' 'name'
 'mandrake']",['should' 'when' 'name'],when
574,574,What are fluxweed and Boomslang skin used for?,Polyjuice,['what' 'be' 'fluxweed' 'boomslang' 'skin' 'use'],['polyjuice'],['what' 'be' 'fluxweed' 'boomslang' 'skin' 'use' 'polyjuice'],['what' 'be'],what
575,575,Who invented the Snitch in the Harry Potter series?,Bowman Wright,['who' 'invent' 'snitch' 'harry' 'potter' 'series'],['bowman' 'wright'],['who' 'invent' 'snitch' 'harry' 'potter' 'series' 'bowman' 'wright'],['who'],who
576,576,Who invented the Cheering Charm?,Felix Summerbee,['who' 'invent' 'cheering' 'charm'],['felix' 'summerbee'],['who' 'invent' 'cheering' 'charm' 'felix' 'summerbee'],['who'],who
577,577,"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5.",['who' 'be' 'harry' 'first' 'kiss' 'what' 'book'],['cho' 'chang' 'book'],['who' 'be' 'harry' 'first' 'kiss' 'what' 'book' 'cho' 'chang'],['who' 'be' 'what'],who
578,578,What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage,['what' 'be' 'name' 'orphanage' 'where' 'lord' 'voldemort' 'grow'],['wool' 'orphanage'],['what' 'be' 'name' 'orphanage' 'where' 'lord' 'voldemort' 'grow' 'wool'],['what' 'be' 'name' 'where'],what
579,579,What was the primary reason for the creation of the International Statute of Wizarding Secrecy?,Persecution by Muggles,"['what' 'be' 'primary' 'reason' 'creation' 'international' 'statute'
 'wizarding' 'secrecy']",['persecution' 'muggles'],"['what' 'be' 'primary' 'reason' 'creation' 'international' 'statute'
 'wizarding' 'secrecy' 'persecution' 'muggles']",['what' 'be'],what
580,580,What kind of spell is Flipendo?,Jinx,['what' 'kind' 'spell' 'be' 'flipendo'],['jinx'],['what' 'kind' 'spell' 'be' 'flipendo' 'jinx'],['what' 'be'],what
581,581,What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!).","['what' 'be' 'crime' 'harry' 'commits' 'cause' 'ministry' 'magic' 'hold'
 'disciplinary' 'hearing']",['use' 'patronus' 'charm' 'front' 'muggle' 'dudley' 'be' 'dementors'],"['what' 'be' 'crime' 'harry' 'commits' 'cause' 'ministry' 'magic' 'hold'
 'disciplinary' 'hearing' 'use' 'patronus' 'charm' 'front' 'muggle'
 'dudley' 'dementors']",['what' 'be'],what
582,582,Name the three different types of balls used in Quidditch.,"Quaffle, Bludger, Snitch.",['name' 'three' 'different' 'type' 'ball' 'use' 'quidditch'],['quaffle' 'bludger' 'snitch'],"['name' 'three' 'different' 'type' 'ball' 'use' 'quidditch' 'quaffle'
 'bludger' 'snitch']",['name'],name
583,583,What magical plant resembles a withered tree stump?,Snargaluff,['what' 'magical' 'plant' 'resemble' 'withered' 'tree' 'stump'],['snargaluff'],"['what' 'magical' 'plant' 'resemble' 'withered' 'tree' 'stump'
 'snargaluff']",['what'],what
584,584,What is the name of the Gryffindor ghost?,Nearly Headless Nick.,['what' 'be' 'name' 'gryffindor' 'ghost'],['nearly' 'headless' 'nick'],['what' 'be' 'name' 'gryffindor' 'ghost' 'nearly' 'headless' 'nick'],['what' 'be' 'name'],what
585,585,Which character in the Harry Potter series is known for wearing radish earrings?,Luna Lovegood,"['which' 'character' 'harry' 'potter' 'series' 'be' 'know' 'wear' 'radish'
 'earring']",['luna' 'lovegood'],"['which' 'character' 'harry' 'potter' 'series' 'be' 'know' 'wear' 'radish'
 'earring' 'luna' 'lovegood']",['which' 'be'],which
586,586,The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”,"['hogwarts' 'motto' 'be' 'draco' 'dormiens' 'nunquan' 'titillandus' 'what'
 'do' 'mean']",['never' 'tickle' 'sleeping' 'dragon'],"['hogwarts' 'motto' 'be' 'draco' 'dormiens' 'nunquan' 'titillandus' 'what'
 'do' 'mean' 'never' 'tickle' 'sleeping' 'dragon']",['be' 'what' 'do'],what
587,587,What's your favorite part of History of Magic?,Your impressions.,['what' 'favorite' 'part' 'history' 'magic'],['impression'],['what' 'favorite' 'part' 'history' 'magic' 'impression'],['what'],what
588,588,Who is Ravenclaw's patron ghost?,The Grey Lady,['who' 'be' 'ravenclaw' 'patron' 'ghost'],['grey' 'lady'],['who' 'be' 'ravenclaw' 'patron' 'ghost' 'grey' 'lady'],['who' 'be'],who
589,589,What is Hagrid’s half-brother’s name?,Grawp,['what' 'be' 'hagrid' 'half' 'brother' 'name'],['grawp'],['what' 'be' 'hagrid' 'half' 'brother' 'name' 'grawp'],['what' 'be' 'name'],what
590,590,What color is Teddy Lupin's hair when he is born?,Black,['what' 'color' 'be' 'teddy' 'lupin' 'hair' 'when' 'bear'],['black'],['what' 'color' 'be' 'teddy' 'lupin' 'hair' 'when' 'bear' 'black'],['what' 'be' 'when'],what
591,591,The Bouncy Bulb is extremely difficult to...,Pot.,['bouncy' 'bulb' 'be' 'extremely' 'difficult'],['pot'],['bouncy' 'bulb' 'be' 'extremely' 'difficult' 'pot'],['be'],be
592,592,Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,['which' 'following' 'book' 'be' 'write' 'rita' 'skeeter'],['easy' 'spell' 'fool' 'muggles'],"['which' 'following' 'book' 'be' 'write' 'rita' 'skeeter' 'easy' 'spell'
 'fool' 'muggles']",['which' 'be'],which
593,593,Which statement is true about conjured objects?,They vanish in time,['which' 'statement' 'be' 'true' 'conjured' 'object'],['vanish' 'time'],['which' 'statement' 'be' 'true' 'conjured' 'object' 'vanish' 'time'],['which' 'be' 'true'],which
594,594,Who is the conductor of the Frog Choir?,Filius Flitwick,['who' 'be' 'conductor' 'frog' 'choir'],['filius' 'flitwick'],['who' 'be' 'conductor' 'frog' 'choir' 'filius' 'flitwick'],['who' 'be'],who
595,595,Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,['which' 'following' 'be' 'side' 'effect' 'wiggenweld' 'potion'],['heal' 'injury'],"['which' 'following' 'be' 'side' 'effect' 'wiggenweld' 'potion' 'heal'
 'injury']",['which' 'be'],which
596,596,What position does Harry play in Quidditch?,Seeker,['what' 'position' 'do' 'harry' 'play' 'quidditch'],['seeker'],['what' 'position' 'do' 'harry' 'play' 'quidditch' 'seeker'],['what' 'do'],what
597,597,What are the two pubs in Hogsmeade called?,The Three Broomsticks and The Hog's Head.,['what' 'be' 'two' 'pub' 'hogsmeade' 'call'],['three' 'broomstick' 'hog' 'head'],"['what' 'be' 'two' 'pub' 'hogsmeade' 'call' 'three' 'broomstick' 'hog'
 'head']",['what' 'be'],what
598,598,"What is the counter spell for Accio, Summoning Charm?",Depulso,['what' 'be' 'counter' 'spell' 'accio' 'summoning' 'charm'],['depulso'],['what' 'be' 'counter' 'spell' 'accio' 'summoning' 'charm' 'depulso'],['what' 'be'],what
599,599,What is the name of Hagrid's pet dragon?,Norbert,['what' 'be' 'name' 'hagrid' 'pet' 'dragon'],['norbert'],['what' 'be' 'name' 'hagrid' 'pet' 'dragon' 'norbert'],['what' 'be' 'name'],what
600,600,New students need to learn the secrets of the castle. How many staircases does Hogwarts have?,142.,"['new' 'student' 'need' 'learn' 'secret' 'castle' 'how' 'many' 'staircase'
 'do' 'hogwarts' 'have']",['142'],"['new' 'student' 'need' 'learn' 'secret' 'castle' 'how' 'many' 'staircase'
 'do' 'hogwarts' 'have' '142']",['how' 'do' 'have'],how
601,601,"Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house?",With a flying car,"['start' 'second' 'year' 'hogwarts' 'how' 'do' 'weasley' 'manage' 'save'
 'harry' 'dursley' 'house']",['fly' 'car'],"['start' 'second' 'year' 'hogwarts' 'how' 'do' 'weasley' 'manage' 'save'
 'harry' 'dursley' 'house' 'fly' 'car']",['how' 'do'],how
602,602,Where does the Sopophorous Plant grow?,Gloomy marshlands.,['where' 'do' 'sopophorous' 'plant' 'grow'],['gloomy' 'marshland'],['where' 'do' 'sopophorous' 'plant' 'grow' 'gloomy' 'marshland'],['where' 'do'],where
603,603,"Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death?",Lady Grieve,"['who' 'teeth' 'do' 'nearly' 'headless' 'nick' 'accidentally' 'turn'
 'tusk' 'lead' 'death']",['lady' 'grieve'],"['who' 'teeth' 'do' 'nearly' 'headless' 'nick' 'accidentally' 'turn'
 'tusk' 'lead' 'death' 'lady' 'grieve']",['who' 'do'],who
604,604,What is another word for antidote?,Cure (I got this in the Antidote to Common Potions lesson),['what' 'be' 'another' 'word' 'antidote'],['cure' 'get' 'antidote' 'common' 'potion' 'lesson'],"['what' 'be' 'another' 'word' 'antidote' 'cure' 'get' 'common' 'potion'
 'lesson']",['what' 'be'],what
605,605,Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,['which' 'be' 'ingredient' 'polyjuice' 'potion'],['powder' 'bicorn' 'horn'],['which' 'be' 'ingredient' 'polyjuice' 'potion' 'powder' 'bicorn' 'horn'],['which' 'be'],which
606,606,What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)",['what' 'animal' 'be' 'dolores' 'umbridge' 'obsess'],['cat' 'specifically' 'kitten'],"['what' 'animal' 'be' 'dolores' 'umbridge' 'obsess' 'cat' 'specifically'
 'kitten']",['what' 'be'],what
607,607,What is the incantation for a Confundus charm?,Confundo,['what' 'be' 'incantation' 'confundus' 'charm'],['confundo'],['what' 'be' 'incantation' 'confundus' 'charm' 'confundo'],['what' 'be'],what
608,608,Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,['which' 'be' 'wiggenweld' 'potion' 'ingredient' 'sea'],['lionfish' 'spine'],['which' 'be' 'wiggenweld' 'potion' 'ingredient' 'sea' 'lionfish' 'spine'],['which' 'be'],which
609,609,What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.,['what' 'be' 'name' 'weasley' 'twin' 'magical' 'joke' 'shop'],['weasleys' 'wizard' 'wheeze'],"['what' 'be' 'name' 'weasley' 'twin' 'magical' 'joke' 'shop' 'weasleys'
 'wizard' 'wheeze']",['what' 'be' 'name'],what
610,610,Some curses are even capable of doing what?,Spanning generations,['curse' 'be' 'even' 'capable' 'do' 'what'],['span' 'generation'],['curse' 'be' 'even' 'capable' 'do' 'what' 'span' 'generation'],['be' 'do' 'what'],what
611,611,"In the Chamber of Secrets, where does Harry discover the entrance to the Chamber?",Myrtle's bathroom,['chamber' 'secret' 'where' 'do' 'harry' 'discover' 'entrance'],['myrtle' 'bathroom'],"['chamber' 'secret' 'where' 'do' 'harry' 'discover' 'entrance' 'myrtle'
 'bathroom']",['where' 'do'],where
612,612,Who did Professor Lupin marry?,Nyphadora Tonks,['who' 'do' 'professor' 'lupin' 'marry'],['nyphadora' 'tonks'],['who' 'do' 'professor' 'lupin' 'marry' 'nyphadora' 'tonks'],['who' 'do'],who
613,613,Who killed Emeric the Evil in a duel?,Egbert the Egregious,['who' 'kill' 'emeric' 'evil' 'duel'],['egbert' 'egregious'],['who' 'kill' 'emeric' 'evil' 'duel' 'egbert' 'egregious'],['who'],who
614,614,What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts?,Grindylow,"['what' 'creature' 'sit' 'corner' 'professor' 'lupin' 'office' 'first'
 'time' 'harry' 'potter' 'visit' 'hogwarts']",['grindylow'],"['what' 'creature' 'sit' 'corner' 'professor' 'lupin' 'office' 'first'
 'time' 'harry' 'potter' 'visit' 'hogwarts' 'grindylow']",['what'],what
