question,answer,question keywords,answer keywords,combined keywords
Where is the Hall of Prophecy?,Ministry of Magic,"['prophecy', 'where', 'hall']","['magic', 'ministry']","['prophecy', 'where', 'hall', 'magic', 'ministry']"
What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape,"['ordinary', 'ghoul', 'chameleon', 'distinguish', 'what']","['change', 'shape', 'ability']","['ordinary', 'ghoul', 'chameleon', 'distinguish', 'what', 'change', 'shape', 'ability']"
Which of these books covers ancient runes?,Spellman's Syllabery,"['which', 'book', 'cover', 'rune', 'ancient']","['spellmans', 'syllabery']","['which', 'book', 'cover', 'rune', 'ancient', 'spellmans', 'syllabery']"
Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book?,Fluffy,"['threeheaded', 'lead', 'book', 'trapdoor', 'who', 'first', 'guard', 'dog', 'stone', 'giant', 'philosopher']",['fluffy'],"['threeheaded', 'lead', 'book', 'trapdoor', 'who', 'first', 'guard', 'dog', 'stone', 'giant', 'philosopher', 'fluffy']"
How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration?,Five,"['many', 'law', 'exception', 'principal', 'transfiguration', 'elemental', 'how', 'gamps']",['five'],"['many', 'law', 'exception', 'principal', 'transfiguration', 'elemental', 'how', 'gamps', 'five']"
What part of a Mandrake is potentially fatal?,Its scream,"['mandrake', 'potentially', 'part', 'fatal', 'what']",['scream'],"['mandrake', 'potentially', 'part', 'fatal', 'what', 'scream']"
What should you avoid getting in your eyes while flying?,Insects,"['fly', 'get', 'avoid', 'eye', 'what']",['insect'],"['fly', 'get', 'avoid', 'eye', 'what', 'insect']"
Who is Slytherin's patron ghost?,Bloody Baron,"['patron', 'who', 'ghost', 'slytherins']","['baron', 'bloody']","['patron', 'who', 'ghost', 'slytherins', 'baron', 'bloody']"
What is the incantation for the Exploding Charm?,Bombarda,"['explode', 'incantation', 'charm', 'what']",['bombarda'],"['explode', 'incantation', 'charm', 'what', 'bombarda']"
An intended transformation is directly influenced by which of the following?,Concentration,"['which', 'intend', 'transformation', 'follow', 'directly', 'influence']",['concentration'],"['which', 'intend', 'transformation', 'follow', 'directly', 'influence', 'concentration']"
What does the Stretching Jinx do?,Causes the target to stretch,"['stretch', 'jinx', 'what']","['cause', 'stretch', 'target']","['stretch', 'jinx', 'what', 'cause', 'stretch', 'target']"
What is the name of the magical object that allows the user to become invisible?,The Cloak of Invisibility,"['allow', 'object', 'user', 'magical', 'invisible', 'what', 'name', 'become']","['cloak', 'invisibility']","['allow', 'object', 'user', 'magical', 'invisible', 'what', 'name', 'become', 'cloak', 'invisibility']"
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,"['headquarters', 'where', 'league', 'british', 'quidditch', 'irish', 'locate']","['magic', 'ministry']","['headquarters', 'where', 'league', 'british', 'quidditch', 'irish', 'locate', 'magic', 'ministry']"
What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch,"['harry', 'game', 'potter', 'broomstick', 'play', 'what', 'series', 'name']",['quidditch'],"['harry', 'game', 'potter', 'broomstick', 'play', 'what', 'series', 'name', 'quidditch']"
Wich of these creatures is notable proud and easy to offend if not treated politely?,Hippogriff,"['politely', 'notable', 'proud', 'wich', 'easy', 'treat', 'offend', 'creature']",['hippogriff'],"['politely', 'notable', 'proud', 'wich', 'easy', 'treat', 'offend', 'creature', 'hippogriff']"
Starfish and Stick is a tactic used by what Quidditch position?,Keeper,"['position', 'starfish', 'stick', 'tactic', 'use', 'quidditch', 'what']",['keeper'],"['position', 'starfish', 'stick', 'tactic', 'use', 'quidditch', 'what', 'keeper']"
Which of these tasks can not be aided by a Vanishing Spell?,Dancing,"['which', 'spell', 'task', 'aid', 'vanish']",['dance'],"['which', 'spell', 'task', 'aid', 'vanish', 'dance']"
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart,"['headquarters', 'harry', 'hermione', 'phoenix', 'write', 'find', 'desk', 'order', 'ron', 'locked', 'cabinet', 'what']",['boggart'],"['headquarters', 'harry', 'hermione', 'phoenix', 'write', 'find', 'desk', 'order', 'ron', 'locked', 'cabinet', 'what', 'boggart']"
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what']",['pensieve'],"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what', 'pensieve']"
Do you know what kind of creature a Boggart is?,Non-being,"['boggart', 'kind', 'what', 'creature', 'know']",['nonbeing'],"['boggart', 'kind', 'what', 'creature', 'know', 'nonbeing']"
What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch,"['always', 'caretaker', 'who', 'student', 'what', 'complain', 'name', 'hogwarts']","['filch', 'argus']","['always', 'caretaker', 'who', 'student', 'what', 'complain', 'name', 'hogwarts', 'filch', 'argus']"
Why did the Werewolf Code of Conduct fail?,No Werewolves Signed,"['why', 'werewolf', 'conduct', 'code', 'fail']","['sign', 'werewolf']","['why', 'werewolf', 'conduct', 'code', 'fail', 'sign', 'werewolf']"
You should cover your ears when this mature plant starts crying. Name that plant!,Mandrake,"['plant', 'cover', 'start', 'mature', 'when', 'cry', 'ear', 'name']",['mandrake'],"['plant', 'cover', 'start', 'mature', 'when', 'cry', 'ear', 'name', 'mandrake']"
What are fluxweed and Boomslang skin used for?,Polyjuice,"['skin', 'use', 'fluxweed', 'what', 'boomslang']",['polyjuice'],"['skin', 'use', 'fluxweed', 'what', 'boomslang', 'polyjuice']"
Who invented the Snitch in the Harry Potter series?,Bowman Wright,"['harry', 'potter', 'who', 'invent', 'snitch', 'series']","['wright', 'bowman']","['harry', 'potter', 'who', 'invent', 'snitch', 'series', 'wright', 'bowman']"
Who invented the Cheering Charm?,Felix Summerbee,"['charm', 'who', 'cheer', 'invent']","['summerbee', 'felix']","['charm', 'who', 'cheer', 'invent', 'summerbee', 'felix']"
"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5.","['kiss', 'harry', 'book', 'who', 'first', 'what']","['cho', 'chang', 'book']","['kiss', 'harry', 'book', 'who', 'first', 'what', 'cho', 'chang', 'book']"
What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage,"['grow', 'orphanage', 'where', 'what', 'voldemort', 'name', 'lord']","['orphanage', 'wool']","['grow', 'orphanage', 'where', 'what', 'voldemort', 'name', 'lord', 'orphanage', 'wool']"
What was the primary reason for the creation of the International Statute of Wizarding Secrecy?,Persecution by Muggles,"['international', 'statute', 'primary', 'reason', 'wizarding', 'creation', 'what', 'secrecy']","['persecution', 'muggles']","['international', 'statute', 'primary', 'reason', 'wizarding', 'creation', 'what', 'secrecy', 'persecution', 'muggles']"
What kind of spell is Flipendo?,Jinx,"['kind', 'spell', 'flipendo', 'what']",['jinx'],"['kind', 'spell', 'flipendo', 'what', 'jinx']"
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!).","['disciplinary', 'harry', 'commit', 'hold', 'hearing', 'magic', 'what', 'cause', 'crime', 'ministry']","['patronus', 'us', 'muggle', 'front', 'charm', 'dementors', 'dudley']","['disciplinary', 'harry', 'commit', 'hold', 'hearing', 'magic', 'what', 'cause', 'crime', 'ministry', 'patronus', 'us', 'muggle', 'front', 'charm', 'dementors', 'dudley']"
Name the three different types of balls used in Quidditch.,"Quaffle, Bludger, Snitch.","['different', 'type', 'ball', 'use', 'quidditch', 'three', 'name']","['bludger', 'snitch', 'quaffle']","['different', 'type', 'ball', 'use', 'quidditch', 'three', 'name', 'bludger', 'snitch', 'quaffle']"
What magical plant resembles a withered tree stump?,Snargaluff,"['tree', 'plant', 'magical', 'resembles', 'what', 'wither', 'stump']",['snargaluff'],"['tree', 'plant', 'magical', 'resembles', 'what', 'wither', 'stump', 'snargaluff']"
What is the name of the Gryffindor ghost?,Nearly Headless Nick.,"['ghost', 'gryffindor', 'name', 'what']","['nearly', 'nick', 'headless']","['ghost', 'gryffindor', 'name', 'what', 'nearly', 'nick', 'headless']"
Which character in the Harry Potter series is known for wearing radish earrings?,Luna Lovegood,"['which', 'harry', 'know', 'earring', 'potter', 'radish', 'wear', 'series', 'character']","['luna', 'lovegood']","['which', 'harry', 'know', 'earring', 'potter', 'radish', 'wear', 'series', 'character', 'luna', 'lovegood']"
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”,"['dormiens', 'motto', 'titillandus', 'what', 'draco', 'nunquan', 'mean', 'hogwarts']","['sleep', 'never', 'tickle', 'dragon']","['dormiens', 'motto', 'titillandus', 'what', 'draco', 'nunquan', 'mean', 'hogwarts', 'sleep', 'never', 'tickle', 'dragon']"
What's your favorite part of History of Magic?,Your impressions.,"['favorite', 'part', 'magic', 'history', 'whats']",['impression'],"['favorite', 'part', 'magic', 'history', 'whats', 'impression']"
Who is Ravenclaw's patron ghost?,The Grey Lady,"['patron', 'who', 'ghost', 'ravenclaws']","['grey', 'lady']","['patron', 'who', 'ghost', 'ravenclaws', 'grey', 'lady']"
What is Hagrid’s half-brother’s name?,Grawp,"['hagrids', 'halfbrothers', 'name', 'what']",['grawp'],"['hagrids', 'halfbrothers', 'name', 'what', 'grawp']"
What color is Teddy Lupin's hair when he is born?,Black,"['teddy', 'hair', 'lupins', 'when', 'born', 'what', 'color']",['black'],"['teddy', 'hair', 'lupins', 'when', 'born', 'what', 'color', 'black']"
The Bouncy Bulb is extremely difficult to...,Pot.,"['extremely', 'bouncy', 'difficult', 'bulb']",['pot'],"['extremely', 'bouncy', 'difficult', 'bulb', 'pot']"
Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,"['which', 'book', 'write', 'follow', 'rita', 'skeeter']","['easy', 'spell', 'muggles', 'fool']","['which', 'book', 'write', 'follow', 'rita', 'skeeter', 'easy', 'spell', 'muggles', 'fool']"
Which statement is true about conjured objects?,They vanish in time,"['which', 'conjure', 'statement', 'object', 'true']","['vanish', 'time']","['which', 'conjure', 'statement', 'object', 'true', 'vanish', 'time']"
Who is the conductor of the Frog Choir?,Filius Flitwick,"['conductor', 'who', 'frog', 'choir']","['filius', 'flitwick']","['conductor', 'who', 'frog', 'choir', 'filius', 'flitwick']"
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,"['which', 'wiggenweld', 'side', 'potion', 'effect', 'follow']","['injury', 'heal']","['which', 'wiggenweld', 'side', 'potion', 'effect', 'follow', 'injury', 'heal']"
What position does Harry play in Quidditch?,Seeker,"['harry', 'position', 'play', 'quidditch', 'what']",['seeker'],"['harry', 'position', 'play', 'quidditch', 'what', 'seeker']"
What are the two pubs in Hogsmeade called?,The Three Broomsticks and The Hog's Head.,"['call', 'hogsmeade', 'pub', 'what', 'two']","['three', 'head', 'hog', 'broomstick']","['call', 'hogsmeade', 'pub', 'what', 'two', 'three', 'head', 'hog', 'broomstick']"
"What is the counter spell for Accio, Summoning Charm?",Depulso,"['spell', 'summon', 'counter', 'charm', 'what', 'accio']",['depulso'],"['spell', 'summon', 'counter', 'charm', 'what', 'accio', 'depulso']"
What is the name of Hagrid's pet dragon?,Norbert,"['hagrids', 'pet', 'what', 'dragon', 'name']",['norbert'],"['hagrids', 'pet', 'what', 'dragon', 'name', 'norbert']"
New students need to learn the secrets of the castle. How many staircases does Hogwarts have?,142.,"['new', 'many', 'secret', 'student', 'castle', 'how', 'learn', 'need', 'staircase', 'hogwarts']",[],"['new', 'many', 'secret', 'student', 'castle', 'how', 'learn', 'need', 'staircase', 'hogwarts']"
"Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house?",With a flying car,"['manage', 'harry', 'hogwarts', 'start', 'house', 'dursleys', 'save', 'how', 'weasleys', 'second', 'year']","['fly', 'car']","['manage', 'harry', 'hogwarts', 'start', 'house', 'dursleys', 'save', 'how', 'weasleys', 'second', 'year', 'fly', 'car']"
Where does the Sopophorous Plant grow?,Gloomy marshlands.,"['where', 'plant', 'sopophorous', 'grow']","['gloomy', 'marshland']","['where', 'plant', 'sopophorous', 'grow', 'gloomy', 'marshland']"
"Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death?",Lady Grieve,"['whose', 'lead', 'death', 'teeth', 'turn', 'nick', 'accidentally', 'tusk', 'headless', 'nearly']","['grieve', 'lady']","['whose', 'lead', 'death', 'teeth', 'turn', 'nick', 'accidentally', 'tusk', 'headless', 'nearly', 'grieve', 'lady']"
What is another word for antidote?,Cure (I got this in the Antidote to Common Potions lesson),"['word', 'antidote', 'another', 'what']","['get', 'potion', 'cure', 'antidote', 'lesson', 'common']","['word', 'antidote', 'another', 'what', 'get', 'potion', 'cure', 'antidote', 'lesson', 'common']"
Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,"['polyjuice', 'which', 'potion', 'ingredient']","['horn', 'powder', 'bicorn']","['polyjuice', 'which', 'potion', 'ingredient', 'horn', 'powder', 'bicorn']"
What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)","['dolores', 'animal', 'umbridge', 'obsess', 'what']","['specifically', 'kitten', 'cat']","['dolores', 'animal', 'umbridge', 'obsess', 'what', 'specifically', 'kitten', 'cat']"
What is the incantation for a Confundus charm?,Confundo,"['incantation', 'confundus', 'charm', 'what']",['confundo'],"['incantation', 'confundus', 'charm', 'what', 'confundo']"
Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,"['which', 'ingredient', 'wiggenweld', 'potion', 'sea']","['spine', 'lionfish']","['which', 'ingredient', 'wiggenweld', 'potion', 'sea', 'spine', 'lionfish']"
What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.,"['shop', 'weasley', 'twin', 'magical', 'joke', 'what', 'name']","['weasleys', 'wheeze', 'wizard']","['shop', 'weasley', 'twin', 'magical', 'joke', 'what', 'name', 'weasleys', 'wheeze', 'wizard']"
Some curses are even capable of doing what?,Spanning generations,"['curse', 'capable', 'even', 'what']","['span', 'generation']","['curse', 'capable', 'even', 'what', 'span', 'generation']"
"In the Chamber of Secrets, where does Harry discover the entrance to the Chamber?",Myrtle's bathroom,"['harry', 'secret', 'where', 'entrance', 'discover', 'chamber']","['myrtle', 'bathroom']","['harry', 'secret', 'where', 'entrance', 'discover', 'chamber', 'myrtle', 'bathroom']"
Who did Professor Lupin marry?,Nyphadora Tonks,"['lupin', 'who', 'marry', 'professor']","['nyphadora', 'tonks']","['lupin', 'who', 'marry', 'professor', 'nyphadora', 'tonks']"
Who killed Emeric the Evil in a duel?,Egbert the Egregious,"['emeric', 'who', 'kill', 'duel', 'evil']","['egbert', 'egregious']","['emeric', 'who', 'kill', 'duel', 'evil', 'egbert', 'egregious']"
What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts?,Grindylow,"['sit', 'corner', 'harry', 'potter', 'professor', 'lupins', 'office', 'first', 'visit', 'what', 'creature', 'time', 'hogwarts']",['grindylow'],"['sit', 'corner', 'harry', 'potter', 'professor', 'lupins', 'office', 'first', 'visit', 'what', 'creature', 'time', 'hogwarts', 'grindylow']"
Which Minister of Magic resigned following the goblin rebellion of 1752?,Albert Boot,"['which', 'resign', 'goblin', 'minister', 'follow', 'rebellion', 'magic']","['albert', 'boot']","['which', 'resign', 'goblin', 'minister', 'follow', 'rebellion', 'magic', 'albert', 'boot']"
What is the incantation for the Tongue-Tying Curse?,Mimblewimble,"['incantation', 'curse', 'tonguetying', 'what']",['mimblewimble'],"['incantation', 'curse', 'tonguetying', 'what', 'mimblewimble']"
What is the name of the street where the Dursleys live?,Privet Drive,"['live', 'where', 'dursleys', 'what', 'name', 'street']","['privet', 'drive']","['live', 'where', 'dursleys', 'what', 'name', 'street', 'privet', 'drive']"
"When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office?",Hermione,"['ingredient', 'harry', 'hermione', 'potion', 'make', 'who', 'professor', 'office', 'when', 'polyjuice', 'snapes', 'ron', 'steal']",['hermione'],"['ingredient', 'harry', 'hermione', 'potion', 'make', 'who', 'professor', 'office', 'when', 'polyjuice', 'snapes', 'ron', 'steal', 'hermione']"
Which potion causes the drinker to speak nonsense?,Babbling Beverage,"['which', 'potion', 'drinker', 'cause', 'nonsense', 'speak']","['beverage', 'babbling']","['which', 'potion', 'drinker', 'cause', 'nonsense', 'speak', 'beverage', 'babbling']"
"What does Uncle Vernon’s sister, Marge Dursley, do for a living?",Breeds bulldogs,"['vernons', 'living', 'marge', 'sister', 'what', 'uncle', 'dursley']","['breed', 'bulldog']","['vernons', 'living', 'marge', 'sister', 'what', 'uncle', 'dursley', 'breed', 'bulldog']"
How many Deathly Hallows did Albus Dumbledore possess?,Three,"['many', 'hallows', 'how', 'deathly', 'possess', 'dumbledore', 'albus']",['three'],"['many', 'hallows', 'how', 'deathly', 'possess', 'dumbledore', 'albus', 'three']"
What is another name for the Alihotsy tree?,The hyena tree.,"['tree', 'another', 'what', 'alihotsy', 'name']","['tree', 'hyena']","['tree', 'another', 'what', 'alihotsy', 'name', 'tree', 'hyena']"
What was Harry Potter's middle name?,James,"['harry', 'potter', 'what', 'middle', 'name']",['james'],"['harry', 'potter', 'what', 'middle', 'name', 'james']"
What was Elfric the Eager responsible for?,An uprising.,"['eager', 'elfric', 'responsible', 'what']",['uprise'],"['eager', 'elfric', 'responsible', 'what', 'uprise']"
Which of the plants is prone to slapping people in the face?,Bouncing Bulbs,"['which', 'plant', 'face', 'prone', 'slap', 'people']","['bounce', 'bulb']","['which', 'plant', 'face', 'prone', 'slap', 'people', 'bounce', 'bulb']"
The charm Descendo can make a targeted object do what?,Lower,"['make', 'object', 'charm', 'descendo', 'target', 'what']",['low'],"['make', 'object', 'charm', 'descendo', 'target', 'what', 'low']"
And how does Parvati defeat it?,"In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary).","['how', 'defeat', 'parvati']","['wrapping', 'book', 'mummy', 'turn', 'movie', 'arguably', 'jackinthebox', 'trip', 'less', 'giant', 'scary']","['how', 'defeat', 'parvati', 'wrapping', 'book', 'mummy', 'turn', 'movie', 'arguably', 'jackinthebox', 'trip', 'less', 'giant', 'scary']"
Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army?,The Hog's Head,"['meeting', 'hermione', 'dumbledores', 'army', 'join', 'where', 'hold', 'interested', 'first', 'student']","['hog', 'head']","['meeting', 'hermione', 'dumbledores', 'army', 'join', 'where', 'hold', 'interested', 'first', 'student', 'hog', 'head']"
How is Bellatrix related to Tonks?,Tonks is Bellatrix's niece.,"['how', 'related', 'bellatrix', 'tonks']","['bellatrixs', 'niece', 'tonks']","['how', 'related', 'bellatrix', 'tonks', 'bellatrixs', 'niece', 'tonks']"
Where do monks grow gravity-resistant trees?,Nepal,"['tree', 'monk', 'grow', 'where', 'gravityresistant']",['nepal'],"['tree', 'monk', 'grow', 'where', 'gravityresistant', 'nepal']"
What is the brand of magic that deals with altering the form or appearance of an object?,Transfiguration,"['alter', 'deal', 'object', 'form', 'brand', 'magic', 'what', 'appearance']",['transfiguration'],"['alter', 'deal', 'object', 'form', 'brand', 'magic', 'what', 'appearance', 'transfiguration']"
"In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature?",Cat ears,"['mcgonagall', 'transfigure', 'transfiguration', 'professor', 'first', 'strange', 'sport', 'feature', 'show', 'class', 'cauldron', 'what', 'u']","['ear', 'cat']","['mcgonagall', 'transfigure', 'transfiguration', 'professor', 'first', 'strange', 'sport', 'feature', 'show', 'class', 'cauldron', 'what', 'u', 'ear', 'cat']"
Who wrote Unfogging the Future?,Cassandra Vablatsky,"['who', 'write', 'future', 'unfogging']","['vablatsky', 'cassandra']","['who', 'write', 'future', 'unfogging', 'vablatsky', 'cassandra']"
Who was expelled from Hufflepuff House?,Newt Scamander,"['who', 'house', 'hufflepuff', 'expel']","['newt', 'scamander']","['who', 'house', 'hufflepuff', 'expel', 'newt', 'scamander']"
"This one is a two-parter. Where does Vernon Dursley work, and what does the company produce?","Grunnings, a drill manufacturer.","['company', 'one', 'work', 'where', 'produce', 'what', 'twoparter', 'vernon', 'dursley']","['manufacturer', 'grunnings', 'drill']","['company', 'one', 'work', 'where', 'produce', 'what', 'twoparter', 'vernon', 'dursley', 'manufacturer', 'grunnings', 'drill']"
Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion,"['easiest', 'which', 'transfiguration', 'follow', 'would']","['porcupine', 'pincushion']","['easiest', 'which', 'transfiguration', 'follow', 'would', 'porcupine', 'pincushion']"
What's the best use for the Talirek Twirl?,Evading Bludgers.,"['talirek', 'twirl', 'use', 'best', 'whats']","['bludgers', 'evade']","['talirek', 'twirl', 'use', 'best', 'whats', 'bludgers', 'evade']"
Who wrote Magical Draughts and Potions?,Arsenius Jigger,"['potion', 'who', 'write', 'magical', 'draught']","['arsenius', 'jigger']","['potion', 'who', 'write', 'magical', 'draught', 'arsenius', 'jigger']"
What is Ginny's full name?,Ginevra Weasley,"['full', 'name', 'ginnys', 'what']","['weasley', 'ginevra']","['full', 'name', 'ginnys', 'what', 'weasley', 'ginevra']"
This topic will be included on what exam?,The N.E.W.T.S.,"['include', 'exam', 'topic', 'what']",['newt'],"['include', 'exam', 'topic', 'what', 'newt']"
What class does Professor Vector teach?,Arithmancy,"['vector', 'professor', 'teach', 'class', 'what']",['arithmancy'],"['vector', 'professor', 'teach', 'class', 'what', 'arithmancy']"
What purpose does the Cough Potion serve?,Cures a cough,"['potion', 'serve', 'cough', 'purpose', 'what']","['cure', 'cough']","['potion', 'serve', 'cough', 'purpose', 'what', 'cure', 'cough']"
What does solitary 'X' classification mean?,Boring,"['solitary', 'mean', 'classification', 'what']",['boring'],"['solitary', 'mean', 'classification', 'what', 'boring']"
What incantation makes an object waterproof?,Impervius,"['make', 'object', 'what', 'incantation', 'waterproof']",['impervius'],"['make', 'object', 'what', 'incantation', 'waterproof', 'impervius']"
Which of these spells would be most useful as an attack?,Engorgio,"['which', 'useful', 'spell', 'attack', 'would']",['engorgio'],"['which', 'useful', 'spell', 'attack', 'would', 'engorgio']"
What do you say to summon a broom to your hand?,Up,"['summon', 'hand', 'say', 'what', 'broom']",[],"['summon', 'hand', 'say', 'what', 'broom']"
"On what date do the Weasleys rescue Harry from number four, Privet Drive?","July 31—his birthday, of course!","['rescue', 'harry', 'privet', 'date', 'drive', 'number', 'weasleys', 'what', 'four']","['july', 'course', 'birthday']","['rescue', 'harry', 'privet', 'date', 'drive', 'number', 'weasleys', 'what', 'four', 'july', 'course', 'birthday']"
What is the name of the Black family's house-elf?,Kreacher,"['family', 'houseelf', 'black', 'what', 'name']",['kreacher'],"['family', 'houseelf', 'black', 'what', 'name', 'kreacher']"
Who is the Potions Master at Hogwarts?,Severus Snape,"['master', 'who', 'potions', 'hogwarts']","['snape', 'severus']","['master', 'who', 'potions', 'hogwarts', 'snape', 'severus']"
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance?,Boris the Bewildered,"['prefect', 'let', 'harry', 'bathroom', 'next', 'diggory', 'entrance', 'statue', 'lavatory', 'use', 'goblet', 'man', 'fire', 'cedric', 'what']","['bewilder', 'boris']","['prefect', 'let', 'harry', 'bathroom', 'next', 'diggory', 'entrance', 'statue', 'lavatory', 'use', 'goblet', 'man', 'fire', 'cedric', 'what', 'bewilder', 'boris']"
Is it safe to drink water conjured by Aguamenti?,"Yes, it's safe to drink.","['conjure', 'water', 'aguamenti', 'safe', 'drink']","['drink', 'yes', 'safe']","['conjure', 'water', 'aguamenti', 'safe', 'drink', 'drink', 'yes', 'safe']"
Arresto Momentum was originally developed for what purpose?,Slowing a Falling Quaffle,"['develop', 'momentum', 'originally', 'purpose', 'what', 'arresto']","['slow', 'quaffle', 'fall']","['develop', 'momentum', 'originally', 'purpose', 'what', 'arresto', 'slow', 'quaffle', 'fall']"
What is used in Xylomancy?,Twigs,"['xylomancy', 'use', 'what']",['twig'],"['xylomancy', 'use', 'what', 'twig']"
What’s the name of Hagrid’s half-brother?,Grawp,"['halfbrother', 'hagrids', 'whats', 'name']",['grawp'],"['halfbrother', 'hagrids', 'whats', 'name', 'grawp']"
What is the platform at King's Cross Station where Hogwarts students catch the Hogwarts Express called?,Platform 9 ¾,"['catch', 'call', 'where', 'express', 'king', 'student', 'station', 'cross', 'what', 'platform', 'hogwarts']",['platform'],"['catch', 'call', 'where', 'express', 'king', 'student', 'station', 'cross', 'what', 'platform', 'hogwarts', 'platform']"
When was Ollivanders founded?,382 BC,"['found', 'ollivanders', 'when']",['bc'],"['found', 'ollivanders', 'when', 'bc']"
When was He Who Must Not Be Named defeated?,Halloween,"['who', 'when', 'must', 'defeat', 'name']",['halloween'],"['who', 'when', 'must', 'defeat', 'name', 'halloween']"
What are all Warlock conventions?,Important,"['convention', 'warlock', 'what']",['important'],"['convention', 'warlock', 'what', 'important']"
What does Harry name his children?,"James Sirius, Albus Severus, and Lily Luna","['harry', 'child', 'name', 'what']","['luna', 'lily', 'severus', 'sirius', 'james', 'albus']","['harry', 'child', 'name', 'what', 'luna', 'lily', 'severus', 'sirius', 'james', 'albus']"
What creature is known for guarding Gringotts Bank?,Dragons,"['gringotts', 'bank', 'guard', 'what', 'creature', 'know']",['dragon'],"['gringotts', 'bank', 'guard', 'what', 'creature', 'know', 'dragon']"
Which creature was used in Quidditch before being replaced by the Golden Snitch?,Golden Snidget,"['which', 'replace', 'golden', 'use', 'quidditch', 'creature', 'snitch']","['snidget', 'golden']","['which', 'replace', 'golden', 'use', 'quidditch', 'creature', 'snitch', 'snidget', 'golden']"
Where is the entrance to the Chamber of Secrets?,"In the second-floor girl's bathroom, also known as Moaning Myrtle's bathroom.","['where', 'secret', 'entrance', 'chamber']","['secondfloor', 'bathroom', 'moan', 'also', 'myrtle', 'girl', 'know']","['where', 'secret', 'entrance', 'chamber', 'secondfloor', 'bathroom', 'moan', 'also', 'myrtle', 'girl', 'know']"
Which type of transfiguration is employed in this lesson?,Transformation,"['which', 'transfiguration', 'type', 'employ', 'lesson']",['transformation'],"['which', 'transfiguration', 'type', 'employ', 'lesson', 'transformation']"
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar,"['make', 'movie', 'eat', 'candy', 'magical', 'ron', 'what', 'sound']","['lion', 'roar']","['make', 'movie', 'eat', 'candy', 'magical', 'ron', 'what', 'sound', 'lion', 'roar']"
What color is Hagrid's umbrella?,Pink,"['umbrella', 'color', 'hagrids', 'what']",['pink'],"['umbrella', 'color', 'hagrids', 'what', 'pink']"
What does the Impediment Jinx do?,Temporarily Slows a Target,"['jinx', 'impediment', 'what']","['slow', 'temporarily', 'target']","['jinx', 'impediment', 'what', 'slow', 'temporarily', 'target']"
What is the Bubotuber pus used for?,Clearing up acne,"['pu', 'bubotuber', 'use', 'what']","['acne', 'clear']","['pu', 'bubotuber', 'use', 'what', 'acne', 'clear']"
Who was the original owner of the Sorting Hat?,Godric Gryffindor,"['sort', 'who', 'hat', 'original', 'owner']","['godric', 'gryffindor']","['sort', 'who', 'hat', 'original', 'owner', 'godric', 'gryffindor']"
What does Harry do when he grows up?,He works as an Auror for the Ministry of Magic.,"['harry', 'when', 'grows', 'what']","['ministry', 'magic', 'auror', 'work']","['harry', 'when', 'grows', 'what', 'ministry', 'magic', 'auror', 'work']"
Which is the exciting moment in the book that is cut out of the movie?,Gryffindor winning the Quidditch Cup,"['which', 'book', 'movie', 'cut', 'moment', 'excite']","['win', 'gryffindor', 'quidditch', 'cup']","['which', 'book', 'movie', 'cut', 'moment', 'excite', 'win', 'gryffindor', 'quidditch', 'cup']"
