question,answer
Which wand wood is considered unlucky?,Elder
Who is the autor of 'Beginners Guide to Transfigurations'?,Emeric Switch
What is Lily Potter's birthday?,"Jan. 30, 1960"
What type of creature is Fluffy?,A three-headed dog
What does Professor Vector Teach?,Arithmancy.
Which of these plants has healing properties?,Dittany
Do ancient runes have magical properties themselves?,"No, they don't."
Wiggentrees are guarded by what creature?,Bowtruckle
What house was Moaning Myrtle sorted into?,Ravenclaw
Who is the Transfiguration Professor?,Minerva McGonagall
Where is the entrance to the Chamber of Secrets hidden?,The girls' bathroom
Who invented Sleakeazy's Hair Potion?,Fleamont Potter
"In the book, who becomes the temporary guard to the Gryffindor common room after the Fat Lady’s painting is damaged?",Sir Cadogan
Which four characters hold the position of Minister of Magic throughout the books?,"Cornelius Fudge, Rufus Scrimgeour, Pius Thicknesse and Kingsley Shacklebolt"
Which of these plants doesn't bite?,Whomping Willow
What spell turns an object into stone?,Duro
Name the Defense Against the Dark Arts teachers during Harry's six years at Hogwarts.,"Professor Quirinus Quirrell, Professor Gilderoy Lockhart, Professor Remus Lupin, Barty Crouch Jr. in disguise as Professor Mad-Eye Moody, Professor Dolores Umbridge, Professor Severus Snape."
Hermione discovered that the Basilisk was moving around the castle using what?,The Plumbing
What's the address of the Black family home?,12 Grimmauld Place
The wizarding version of marbles is called what?,Gobstones.
"In the wizarding world, speaking to snakes is a skill called what; famously practiced by who?","Parseltongue, Lord Voldemort."
What does the Trip Jinx cause its victim to do?,Fall Over
Emeric the Evil was killed in a duel against whom?,Egbert the Egregious
What is a potion that cause boils of brewed incorrectly?,Cure for Boils
What would Peevsey do at the International Warlock Convention?,Wreak havoc
Ron was jealous because Hermione went to the Yule Ball with whom?,Viktor Krum
What creature tries to eat Harry in the lake during the Triwizard Tournament?,Merpeople
Switching spells simultaneously transfigure how many objects?,Two
One's defences against the Dark Arts must be what?,Versatile
What is the branch of magic that deals with altering the form or appearance of an object?,Transfiguration
Hermione places a jinx on the piece of parchment members of Dumbledore’s Army sign. What happens to those who betray the group?,Pustules will form the word sneak across their foreheads.
From which London station does the Hogwarts Express depart?,King's Cross Station
"For Harry's 17th birthday, what colour did Hermione turn the leaves of the Weasley’s crabapple tree?",Gold.
Why did Hermione miss the lesson on Cheering Charms?,Draco's cruel behavior led her to miss the class.
Which potion would make Rowan feel better?,Pepperup Potion.
How long should a Polyjuice Potion stew before usage?,One Month
Which of these plants is a Class C non-traceable substance?,Venomous Tentacula
What is Draco Malfoy’s mother’s name?,Narcissa
What spell did I create with Badeea?,Flipendo Maxima.
What book did Beedle the Bard write?,The Tales of Beedle the Bard
Which Wizard used the Tarantallegra spell in 79 AD to conjure a dance within Mt. Vesuvius?,Zaccaria Innocenti
Who was in love with Helena Ravenclaw?,The Bloody Baron
What barrel do you need to tap to enter the Hufflepuff common room?,"Two from the Bottom, Middle of the Second Row"
What day did James and Lily Potter die?,Oct. 31
Where did Harry Potter live with his muggle relatives the Dursleys?,Privet Drive
What ingredients 'seal' a werewolf bite?,Silver and Dittany
Who makes laws for the magical world?,The Ministry of Magic.
What is true about gerbils?,They like to burrow
Which spell would you use to tame Devil's Snare?,Incendio
What is Draco Malfoy's wand made of?,Hawthorne
What is the name of the gamekeeper and Care of Magical Creatures professor during Harry's first year at Hogwarts?,Rubeus Hagrid
When is Harry's birthday?,"July 31, 1980."
What does the number 14 reduce to?,Five
What is the effect of the Stupefy spell?,Stun you
How would you describe a Pixie's voice?,Shrill
Which is a possible side effect of Pepperup Potions?,Steam Coming Out of Ears
What does Reparifarge do?,Undo Transfigurations
Which witch created the cure for dragon pox?,Gunhilda de Gorsemoor
What is the side effect of Petrificus Totalus?,Stiffened Limbs
An Infusion of Wormwood is NOT an ingredient in which of these potions?,Beautification Potion
Who plays Professor Dumbledore in this and the subsequent Harry Potter movies?,Michael Gambon
What is the purpose of the spell Finite Incantatem?,Stop spells
Which creature is known to steal things?,Niffler
"During the Quidditch game between Gryffindor and Hufflepuff, who is the Hufflepuff seeker?","Cedric Diggory (unnamed in the movie, but not in the book)"
What did you find in the buried Cursed Vault?,A Merperson's Trident
How many Horcruxes have been destroyed at the end of this story?,Two: the diary and the ring
What is the Patronus of Severus Snape?,Doe
What is the maiden name of sisters Lily Potter and Petunia Dursley?,Evans
Who destroyed the Horcrux in Helga Hufflpuff's Cup?,Hermione Granger
How many times did Gilderoy Lockhart win Witch Weekly's Most Charming Smile Award?,Five
Who killed the Grey Lady?,The Bloody Baron
Which of these best describes Slytherin House?,Resourceful
Transfiguration students practise turning what insect into buttons?,Bettle
Which of Harry’s acquaintances reveals that he doesn’t believe Harry’s story about Voldemort being back?,Seamus Finnigan (who eventually comes around)
Who is the potions professor at Hogwarts?,Severus Snape
Who lead the Gargoyle Strike?,A group of wildcat Gargoyles.
What makes the Moon so bright in the night sky?,It reflects light from the Sun.
What did Dumbledore bequeath to Ron?,Deluminator
What is used to track House Points for the Hogwarts House Cup?,Hourglass filled with gems.
What did Dumbledore leave for Ron in his will?,Deluminator
Which incantation banishes an object?,Depulso
What is the counter-charm to Lumos?,Nox
What classification does the Ministry apply to Dementors?,Non-Being
Which of these spells does not make something smaller?,Reducto
What is the full name of Nearly Headless Nick?,Sir Nicholas de Mimsy-Porpington
Which of these birds is a relative of the rook?,Ravens
Which one of this spell is used to transfigure and object into a rabbit?,Lapifors
What is the name of the British Ministry of Magic's high court of law and parliament?,Wizengamot
What is the name of the couple that attends dinner at the Dursley's when Dobby shows up to stop Harry from returning to Hogwarts?,Mr. and Mrs. Mason
What's the name of the school newspaper at Hogwarts?,The Daily Prophet
What is the name of the school newspaper at Hogwarts?,The Daily Prophet
Who can master a wand with a Thestral tail hair core?,One who has faced death
In what year was Gringotts Wizarding Bank founded?,1474
In which scenario would you use Cistem Aperio?,To Open a Chest
What is the American term for Muggles?,No-Majs.
Who is Neville Longbottom's father?,Frank Longbottom
What is the name of the pub at the entrance to Diagon Alley?,The Leaky Cauldron.
Who is the first person to ever successfully break into Gringotts?,Quirinus Quirrell
Where do Harry Potter and Cho Chang have their first kiss?,In the Room of Requirement
What spell wards off spiders?,Arania Exumai
What does the Knitting Charm enchant?,The knitting needles.
What trait did Godric Gryffindor value most in a student?,Courage
What did Sirius Black’s mother do to his name on the Black family tapestry?,Burned it away
Who wrote 'Advanced Potion Making'?,Libatius Borage
Who are the Chasers on the Gryffindor Quidditch team when Harry joins?,"Alicia Spinnet, Angelina Johnson, and Katie Bell"
What did Ginny name her two pets?,Pigwidgeon and Arnold
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf?,Hokey
Which of these is not a type of concealment charm?,Confundus Charm
"In Book 4, which two teams compete for the Quidditch World Cup?",Bulgaria and Ireland.
Which puffy plant produces instantly-blooming beans?,Puffapods
What colour is Garrotting Gas?,It's colourless.
Where is the Hufflepuff common room?,By the kitchens
What Hogwarts house was Uric the Oddball in?,Ravenclaw
Regerminating Potions work wonders on which of the following?,Dead plants.
When was the first full description of the game of Quidditch written?,1398
How does fireproof potion taste?,Icy
Who is the Flying instructor?,Madam Hooch
What form does the Weasley Twins' Patronus take?,Magpie
Why did the Werewolf Code of Conduct fail?,No werewolves signed it.
Who is the students' favourite person to prank?,Filch
Which of these words best describes Slytherin House?,Resourceful
"What is the name of the popular, sweet drink usually served in Hogsmeade?",Butterbeer.
What is a secret keeper?,A person entrusted with a secret
Which Hogwarts house does Luna Lovegood belong to?,Ravenclaw
What spell does Hermione use to fix Harry's glasses in the Sorcerer's Stone?,Oculus Reparo
What class does Professor McGonagall teach?,Transfiguration
Who infected Remus Lupin with Lycanthropy?,Fenrir Greyback
Who is the gamekeeper of Hogwarts?,Ruberus Hagrid
When is Harry's birthday?,July 31
What is taught in this class?,Subtle science
What kind of magical creature is Aragog?,Acromantula
What is one of the creatures that lives in the lake at Hogwarts?,Merpeople
What is linked to the 14th century?,The growth of Gringotts
Where in Kings Cross Station does the Hogwarts Express stop?,Platform 9 and ¾.
What did Salazar Slytherin value most in a student?,Cunning
Which ingredient does Snape make us crush in a Wideye Potion?,Snake Fangs
It's considered good omen if a bird is flying in which direction?,East
What color is the potion for dreamless sleep?,Purple
Which dragon is not native to Britain?,Chinese Fireball
What is the British term for a nonmagical person?,Muggle
What is the name of the three-headed dog that guards the trapdoor in the Sorcerer's Stone?,Fluffy
When did Rowena Ravenclaw's fellow Founders and her found Hogwarts?,10th Century
Who is the author of 'Moste Potente Potions'?,Phineas Bourne
What was the Fat Lady’s password to get into the Gryffindor common room?,Caput Draconis
"Harry, Ron, and Hermione help save the Sorcerer's Stone from being stolen. How old was its co-creator, Nicholas Flamel, when he decided to destroy it?",665.
In which of these scenarios would you use the Muffliato Charm?,Preventing Eavesdropping
Name at least two Hogwarts electives.,"Arithmancy, Care of Magical Creatures, Divination, Muggle Studies, or the Study of Ancient Runes."
What is the name of the Apparition instructor who comes to Hogwarts in Harry’s sixth year?,Wilkie Twycross.
What is Luna Lovegood's father's name?,Xenophilius Lovegood.
Which of these spells is not a charm?,Geminio
Which of these spells is not a Transfiguration spell?,Confundo
What position does Harry play on the Gryffindor Quidditch team?,Seeker.
"Will you serve the great nation of Peevesland, soldier?","Sir, yes, sir!"
Which of these plants are prone to slapping people in the face?,Bouncing Bulbs
What form of magical transportation is illegal?,Flying carpets
What type of potion does Golpalott's Third Law pertain to?,Antidotes
Who is the founder of the Slytherin house?,Salazar Slytherin
What does Professor Kettleburn wish to do after retiring from Hogwarts?,Enjoy more time with his remaining limbs
